Kraj;Poradi;Kandidat;Jmeno1;Jmeno2;Titul1;Titul2;Titul3;Titul4;Titul5;Vek;Strana;Clen
Hl. m. Praha;26;Hejkrlík Milan Ing.;Hejkrlík;Milan;Ing.;;;;;35;ÈSSD;ÈSSD
Plzeòskı;19;Heømanová Jitka Ing.;Heømanová;Jitka;Ing.;;;;;51;ÈSSD;ÈSSD
Hl. m. Praha;36;Hodek Pavel Mgr. Bc.;Hodek;Pavel;Mgr.;Bc.;;;;39;ÈSSD;ÈSSD
Olomouckı;2;Holík Pavel MUDr.;Holík;Pavel;MUDr.;;;;;56;ÈSSD;ÈSSD
Karlovarskı;12;Horkı Petr RNDr.;Horkı;Petr;RNDr.;;;;;55;ÈSSD;ÈSSD
Plzeòskı;17;Hoøanová Iva;Hoøanová;Iva;;;;;;49;ÈSSD;ÈSSD
Vysoèina;16;Houser Jaroslav MUDr.;Houser;Jaroslav;MUDr.;;;;;45;ÈSSD;BEZPP
Zlínskı;19;Houška Martin Ing.;Houška;Martin;Ing.;;;;;50;ÈSSD;ÈSSD
Karlovarskı;6;Hozmanová Hana;Hozmanová;Hana;;;;;;47;ÈSSD;ÈSSD
Ústeckı;21;Hrebièková Olga Ing.;Hrebièková;Olga;Ing.;;;;;49;ÈSSD;ÈSSD
Ústeckı;17;Hricz František Ing.;Hricz;František;Ing.;;;;;55;ÈSSD;ÈSSD
Støedoèeskı;22;Hron Karel;Hron;Karel;;;;;;49;ÈSSD;ÈSSD
Støedoèeskı;12;Huml Stanislav Mgr.;Huml;Stanislav;Mgr.;;;;;58;ÈSSD;BEZPP
Olomouckı;7;Hynek Ladislav;Hynek;Ladislav;;;;;;45;ÈSSD;ÈSSD
Plzeòskı;15;Chalupnı Michal Bc.;Chalupnı;Michal;Bc.;;;;;44;ÈSSD;ÈSSD
Plzeòskı;14;Chládková Nadìda Mgr.;Chládková;Nadìda;Mgr.;;;;;55;ÈSSD;ÈSSD
Støedoèeskı;32;Chlasták Vladimír;Chlasták;Vladimír;;;;;;50;ÈSSD;ÈSSD
Plzeòskı;1;Chovanec Milan;Chovanec;Milan;;;;;;43;ÈSSD;ÈSSD
Zlínskı;6;Chumchal Miroslav Bc.;Chumchal;Miroslav;Bc.;;;;;55;ÈSSD;ÈSSD
Pardubickı;6;Chvojka Jan JUDr.;Chvojka;Jan;JUDr.;;;;;32;ÈSSD;ÈSSD
Královéhradeckı;16;Illner Petr;Illner;Petr;;;;;;42;ÈSSD;ÈSSD
Plzeòskı;3;Jakubèík Igor Bc.;Jakubèík;Igor;Bc.;;;;;46;ÈSSD;ÈSSD
Jihomoravskı;32;Janda Jiøí Mgr.;Janda;Jiøí;Mgr.;;;;;48;ÈSSD;ÈSSD
Jihoèeskı;3;Jandák Vítìzslav Mgr.;Jandák;Vítìzslav;Mgr.;;;;;66;ÈSSD;ÈSSD
Královéhradeckı;11;Janeèek Karel Ing.;Janeèek;Karel;Ing.;;;;;42;ÈSSD;ÈSSD
Moravskoslezskı;24;Jedlièka Vladimír;Jedlièka;Vladimír;;;;;;57;ÈSSD;ÈSSD
Pardubickı;16;Jelínková Marcela;Jelínková;Marcela;;;;;;54;ÈSSD;ÈSSD
Moravskoslezskı;9;Jelonková Barbora MVDr.;Jelonková;Barbora;MVDr.;;;;;41;ÈSSD;ÈSSD
Ústeckı;26;Jiøièka Pavel JUDr.;Jiøièka;Pavel;JUDr.;;;;;40;ÈSSD;ÈSSD
Moravskoslezskı;28;Jopek Vladislav;Jopek;Vladislav;;;;;;38;ÈSSD;ÈSSD
Moravskoslezskı;17;Jordánová Zdeòka;Jordánová;Zdeòka;;;;;;61;ÈSSD;ÈSSD
Zlínskı;17;Jurák Jaroslav Mgr.;Jurák;Jaroslav;Mgr.;;;;;61;ÈSSD;ÈSSD
Moravskoslezskı;11;Juráòová Ludmila;Juráòová;Ludmila;;;;;;58;ÈSSD;ÈSSD
Ústeckı;3;Kailová Zuzana Bc.;Kailová;Zuzana;Bc.;;;;;39;ÈSSD;ÈSSD
Karlovarskı;7;Kaiserová Vlasta Bc.;Kaiserová;Vlasta;Bc.;;;;;50;ÈSSD;ÈSSD
Moravskoslezskı;12;Kala Jaroslav Ing.;Kala;Jaroslav;Ing.;;;;;55;ÈSSD;ÈSSD
Libereckı;16;Kapounová Jitka;Kapounová;Jitka;;;;;;53;ÈSSD;ÈSSD
Plzeòskı;10;Karkoš Lukáš;Karkoš;Lukáš;;;;;;54;ÈSSD;ÈSSD
Moravskoslezskı;16;Kawulok Pavel Mgr.;Kawulok;Pavel;Mgr.;;;;;33;ÈSSD;ÈSSD
Plzeòskı;12;Klíma Jaroslav;Klíma;Jaroslav;;;;;;60;ÈSSD;ÈSSD
Hl. m. Praha;5;Klíma Karel Ing.;Klíma;Karel;Ing.;;;;;37;ÈSSD;ÈSSD
Moravskoslezskı;5;Kluèka Václav Ing.;Kluèka;Václav;Ing.;;;;;60;ÈSSD;ÈSSD
Støedoèeskı;31;Kobliha Aleš;Kobliha;Aleš;;;;;;35;ÈSSD;ÈSSD
Jihomoravskı;26;Koèí Ivana;Koèí;Ivana;;;;;;57;ÈSSD;ÈSSD
Støedoèeskı;17;Koláø Roman;Koláø;Roman;;;;;;46;ÈSSD;ÈSSD
Støedoèeskı;9;Konèel Pavel Bc. DiS.;Konèel;Pavel;Bc.;DiS.;;;;39;ÈSSD;ÈSSD
Jihomoravskı;28;Koprivòanskı Roman Bc.;Koprivòanskı;Roman;Bc.;;;;;43;ÈSSD;ÈSSD
Zlínskı;3;Koøenek Petr Mgr.;Koøenek;Petr;Mgr.;;;;;47;ÈSSD;ÈSSD
Hl. m. Praha;12;Koskuba Jiøí MUDr.;Koskuba;Jiøí;MUDr.;;;;;57;ÈSSD;ÈSSD
Vysoèina;10;Kovanda Bohumil Mgr.;Kovanda;Bohumil;Mgr.;;;;;61;ÈSSD;ÈSSD
Plzeòskı;4;Kováø Václav;Kováø;Václav;;;;;;31;ÈSSD;ÈSSD
Ústeckı;15;Kozák Rudolf Ing.;Kozák;Rudolf;Ing.;;;;;49;ÈSSD;ÈSSD
Jihoèeskı;8;Krák Antonín Mgr. Bc.;Krák;Antonín;Mgr.;Bc.;;;;47;ÈSSD;ÈSSD
Ústeckı;2;Krákora Jaroslav MUDr.;Krákora;Jaroslav;MUDr.;;;;;58;ÈSSD;ÈSSD
Olomouckı;9;Krákorová Pajùrková Šárka Mgr.;Krákorová;Pajùrková Šárka;Mgr.;;;;;38;ÈSSD;ÈSSD
Støedoèeskı;27;Králová Irena Mgr.;Králová;Irena;Mgr.;;;;;53;ÈSSD;ÈSSD
Ústeckı;6;Krásnı Petr;Krásnı;Petr;;;;;;62;ÈSSD;ÈSSD
Jihoèeskı;5;Kratochvíle Karel Ing.;Kratochvíle;Karel;Ing.;;;;;55;ÈSSD;ÈSSD
Vysoèina;15;Krbec Miloš;Krbec;Miloš;;;;;;28;ÈSSD;ÈSSD
Vysoèina;6;Krèál Petr Mgr. et Bc.;Krèál;Petr;Mgr.;Bc.;;;;49;ÈSSD;ÈSSD
Jihomoravskı;31;Krèmaøová Rùena;Krèmaøová;Rùena;;;;;;69;ÈSSD;ÈSSD
Hl. m. Praha;22;Krejèová Drahoslava;Krejèová;Drahoslava;;;;;;51;ÈSSD;ÈSSD
Olomouckı;8;Kropáè Jiøí Ing.;Kropáè;Jiøí;Ing.;;;;;58;ÈSSD;ÈSSD
Olomouckı;23;Krosesková Vlasta PhDr.;Krosesková;Vlasta;PhDr.;;;;;47;ÈSSD;ÈSSD
Pardubickı;12;Kroutil Václav Ing.;Kroutil;Václav;Ing.;;;;;45;ÈSSD;ÈSSD
Moravskoslezskı;30;Krušinová Alena Mgr.;Krušinová;Alena;Mgr.;;;;;54;ÈSSD;ÈSSD
Vysoèina;7;Kruíková Marie RNDr.;Kruíková;Marie;RNDr.;;;;;59;ÈSSD;ÈSSD
Ústeckı;14;Køeèek Václav Ing.;Køeèek;Václav;Ing.;;;;;67;ÈSSD;ÈSSD
Ústeckı;7;Køtìnová Alena Ing. et Bc.;Køtìnová;Alena;Ing.;Bc.;;;;52;ÈSSD;ÈSSD
Pardubickı;17;Lechnıø Jaroslav;Lechnıø;Jaroslav;;;;;;70;ÈSSD;ÈSSD
Ústeckı;12;Lízlová Lenka Bc.;Lízlová;Lenka;Bc.;;;;;33;ÈSSD;ÈSSD
Støedoèeskı;19;Lomoz Milan Ing.;Lomoz;Milan;Ing.;;;;;54;ÈSSD;ÈSSD
Královéhradeckı;12;Luska Petr Bc.;Luska;Petr;Bc.;;;;;48;ÈSSD;ÈSSD
Jihomoravskı;19;Macek Ladislav;Macek;Ladislav;;;;;;51;ÈSSD;ÈSSD
Pardubickı;19;Macháèek Martin;Macháèek;Martin;;;;;;37;ÈSSD;ÈSSD
Hl. m. Praha;23;Majerová Lenka Ing.;Majerová;Lenka;Ing.;;;;;69;ÈSSD;ÈSSD
Jihomoravskı;13;Maòásková Viera Bc.;Maòásková;Viera;Bc.;;;;;43;ÈSSD;ÈSSD
Hl. m. Praha;29;Mandík Miloslav MUDr.;Mandík;Miloslav;MUDr.;;;;;47;ÈSSD;ÈSSD
Støedoèeskı;11;Mandovcová Kateøina JUDr.;Mandovcová;Kateøina;JUDr.;;;;;61;ÈSSD;ÈSSD
Ústeckı;23;Mareš Jan Mgr.;Mareš;Jan;Mgr.;;;;;54;ÈSSD;ÈSSD
Hl. m. Praha;11;Marksová Michaela Mgr.;Marksová;Michaela;Mgr.;;;;;44;ÈSSD;ÈSSD
Jihomoravskı;29;Maršová Jindøiška;Maršová;Jindøiška;;;;;;62;ÈSSD;ÈSSD
Olomouckı;6;Martínek Pavel Ing.;Martínek;Pavel;Ing.;;;;;48;ÈSSD;ÈSSD
Pardubickı;18;Mašková Alena Mgr.;Mašková;Alena;Mgr.;;;;;58;ÈSSD;ÈSSD
Vysoèina;14;Matìjek Josef Ing.;Matìjek;Josef;Ing.;;;;;68;ÈSSD;ÈSSD
Hl. m. Praha;17;Matonoha Drahoslav Ing.;Matonoha;Drahoslav;Ing.;;;;;56;ÈSSD;ÈSSD
Olomouckı;18;Medveïová Gabriela Mgr.;Medveïová;Gabriela;Mgr.;;;;;40;ÈSSD;ÈSSD
Støedoèeskı;21;Mìchurová Miroslava PhDr.;Mìchurová;Miroslava;PhDr.;;;;;61;ÈSSD;ÈSSD
Hl. m. Praha;16;Miffek Ondøej Ing. Ph.D.;Miffek;Ondøej;Ing.;Ph.D.;;;;31;ÈSSD;ÈSSD
Moravskoslezskı;15;Mihálik Petr Ing.;Mihálik;Petr;Ing.;;;;;52;ÈSSD;ÈSSD
Moravskoslezskı;14;Michalík Alfréd Ing.;Michalík;Alfréd;Ing.;;;;;69;ÈSSD;ÈSSD
Zlínskı;22;Mikeska Martin Ing. Ph.D.;Mikeska;Martin;Ing.;Ph.D.;;;;36;ÈSSD;ÈSSD
Karlovarskı;5;Míkovec Zdenìk Ing.;Míkovec;Zdenìk;Ing.;;;;;63;ÈSSD;ÈSSD
Olomouckı;10;Mikulec Vladimír Ing.;Mikulec;Vladimír;Ing.;;;;;62;ÈSSD;ÈSSD
Olomouckı;11;Mimra Petr Ing.;Mimra;Petr;Ing.;;;;;55;ÈSSD;ÈSSD
Jihoèeskı;4;Mládek Jan Ing. CSc.;Mládek;Jan;Ing.;CSc.;;;;53;ÈSSD;ÈSSD
Karlovarskı;9;Mleziva Václav;Mleziva;Václav;;;;;;46;ÈSSD;ÈSSD
Libereckı;4;Moravcová Sylva;Moravcová;Sylva;;;;;;63;ÈSSD;ÈSSD
Støedoèeskı;23;Moravèíková Zuzana Ing.;Moravèíková;Zuzana;Ing.;;;;;56;ÈSSD;ÈSSD
Vysoèina;13;Musil Michal Mgr.;Musil;Michal;Mgr.;;;;;26;ÈSSD;ÈSSD
Olomouckı;20;Navrátil Jiøí Ing.;Navrátil;Jiøí;Ing.;;;;;35;ÈSSD;ÈSSD
Zlínskı;13;Navrátil Radek Bc.;Navrátil;Radek;Bc.;;;;;35;ÈSSD;ÈSSD
Pardubickı;4;Neubauer Václav;Neubauer;Václav;;;;;;65;ÈSSD;ÈSSD
Støedoèeskı;28;Novák Jaromír Mgr.;Novák;Jaromír;Mgr.;;;;;63;ÈSSD;ÈSSD
Jihoèeskı;10;Novák Jaromír Mgr.;Novák;Jaromír;Mgr.;;;;;58;ÈSSD;ÈSSD
Hl. m. Praha;4;Nováková Hana;Nováková;Hana;;;;;;55;ÈSSD;ÈSSD
Pardubickı;13;Nováková Radoslava;Nováková;Radoslava;;;;;;57;ÈSSD;ÈSSD
Vysoèina;18;Nováková Hotaøová Jana Mgr.;Nováková;Hotaøová Jana;Mgr.;;;;;49;ÈSSD;ÈSSD
Karlovarskı;1;Novotnı Josef PaedDr.;Novotnı;Josef;PaedDr.;;;;;60;ÈSSD;ÈSSD
Ústeckı;18;Novotnı Karel Mgr. MBA;Novotnı;Karel;Mgr.;MBA;;;;47;ÈSSD;ÈSSD
Královéhradeckı;20;Nyklíèková Tereza;Nyklíèková;Tereza;;;;;;40;ÈSSD;ÈSSD
Moravskoslezskı;4;Nytrová Pavlína Ing.;Nytrová;Pavlína;Ing.;;;;;45;ÈSSD;ÈSSD
Olomouckı;21;Obornı Michal;Obornı;Michal;;;;;;46;ÈSSD;ÈSSD
Jihomoravskı;8;Ohlídal Ivan Prof. RNDr. DrSc.;Ohlídal;Ivan;prof.;RNDr.;DrSc.;;;68;ÈSSD;ÈSSD
Královéhradeckı;1;Orgoníková Hana Ing.;Orgoníková;Hana;Ing.;;;;;66;ÈSSD;ÈSSD
Královéhradeckı;6;Orgoníková Lucie Ing.;Orgoníková;Lucie;Ing.;;;;;36;ÈSSD;ÈSSD
Moravskoslezskı;8;Osmanczyk Zdenìk Ing.;Osmanczyk;Zdenìk;Ing.;;;;;59;ÈSSD;ÈSSD
Jihomoravskı;12;Ottová Daniela;Ottová;Daniela;;;;;;46;ÈSSD;ÈSSD
Hl. m. Praha;6;Oubrechtová Miroslava;Oubrechtová;Miroslava;;;;;;53;ÈSSD;ÈSSD
Jihoèeskı;19;Ounickı Pavel;Ounickı;Pavel;;;;;;32;ÈSSD;ÈSSD
Hl. m. Praha;18;Paclík Leoš;Paclík;Leoš;;;;;;35;ÈSSD;ÈSSD
Jihomoravskı;27;Pavlík Zdenìk Bc.;Pavlík;Zdenìk;Bc.;;;;;59;ÈSSD;ÈSSD
Pardubickı;8;Pernicová Jana Ing.;Pernicová;Jana;Ing.;;;;;57;ÈSSD;ÈSSD
Hl. m. Praha;20;Peštová Kateøina;Peštová;Kateøina;;;;;;30;ÈSSD;ÈSSD
Støedoèeskı;3;Petera Miloš Ing.;Petera;Miloš;Ing.;;;;;55;ÈSSD;ÈSSD
Jihomoravskı;4;Petrù Jiøí Ing.;Petrù;Jiøí;Ing.;;;;;57;ÈSSD;ÈSSD
Zlínskı;10;Petrù Pavel Ing.;Petrù;Pavel;Ing.;;;;;55;ÈSSD;ÈSSD
Hl. m. Praha;10;Petrus Roman;Petrus;Roman;;;;;;35;ÈSSD;ÈSSD
Moravskoslezskı;23;Petruška Zbynìk Ing.;Petruška;Zbynìk;Ing.;;;;;32;ÈSSD;ÈSSD
Libereckı;8;Petrela Zdenìk;Petrela;Zdenìk;;;;;;38;ÈSSD;ÈSSD
Støedoèeskı;10;Petrílek Petr JUDr. Ing. Ph.D.;Petrílek;Petr;JUDr.;Ing.;Ph.D.;;;42;ÈSSD;ÈSSD
Støedoèeskı;20;Pikrt Pavel Ing.;Pikrt;Pavel;Ing.;;;;;60;ÈSSD;ÈSSD
Zlínskı;18;Pinïák Pavel Ing.;Pinïák;Pavel;Ing.;;;;;34;ÈSSD;ÈSSD
Plzeòskı;5;Písaøík Zdenìk Ing.;Písaøík;Zdenìk;Ing.;;;;;61;ÈSSD;ÈSSD
Libereckı;3;Pleticha Lukáš JUDr. Ing.;Pleticha;Lukáš;JUDr.;Ing.;;;;38;ÈSSD;ÈSSD
Libereckı;1;Ploc Pavel;Ploc;Pavel;;;;;;49;ÈSSD;ÈSSD
Jihoèeskı;9;Podhola Petr Mgr.;Podhola;Petr;Mgr.;;;;;31;ÈSSD;ÈSSD
Moravskoslezskı;33;Pohludka Antonín;Pohludka;Antonín;;;;;;52;ÈSSD;ÈSSD
Karlovarskı;10;Pojar Josef Bc.;Pojar;Josef;Bc.;;;;;44;ÈSSD;ÈSSD
Støedoèeskı;29;Poláèek Radek MUDr.;Poláèek;Radek;MUDr.;;;;;34;ÈSSD;ÈSSD
Støedoèeskı;25;Procházka Milan RNDr.;Procházka;Milan;RNDr.;;;;;55;ÈSSD;ÈSSD
Moravskoslezskı;20;Procházka Petr;Procházka;Petr;;;;;;39;ÈSSD;ÈSSD
Jihoèeskı;22;Proisl Milan;Proisl;Milan;;;;;;49;ÈSSD;ÈSSD
Libereckı;12;Prùcha Josef;Prùcha;Josef;;;;;;53;ÈSSD;ÈSSD
Olomouckı;16;Pøichystal Jan RNDr.;Pøichystal;Jan;RNDr.;;;;;63;ÈSSD;ÈSSD
Pardubickı;15;Ptáèek Jan Ing.;Ptáèek;Jan;Ing.;;;;;36;ÈSSD;ÈSSD
Libereckı;10;Ráèek Pavel Ing.;Ráèek;Pavel;Ing.;;;;;60;ÈSSD;ÈSSD
Jihomoravskı;21;Rajtšlégr Vít;Rajtšlégr;Vít;;;;;;46;ÈSSD;ÈSSD
Olomouckı;22;Rašák Radovan Mgr.;Rašák;Radovan;Mgr.;;;;;55;ÈSSD;ÈSSD
Hl. m. Praha;27;Riedlbauchová ¼ubica Mgr.;Riedlbauchová;¼ubica;Mgr.;;;;;69;ÈSSD;ÈSSD
Hl. m. Praha;34;Rödig Daniel Ing.;Rödig;Daniel;Ing.;;;;;37;ÈSSD;ÈSSD
Libereckı;2;Rosenbergová Martina Mgr.;Rosenbergová;Martina;Mgr.;;;;;47;ÈSSD;ÈSSD
Libereckı;15;Rothschedlová Jana;Rothschedlová;Jana;;;;;;46;ÈSSD;ÈSSD
Pardubickı;10;Rozinek Jiøí Ing.;Rozinek;Jiøí;Ing.;;;;;60;ÈSSD;ÈSSD
Moravskoslezskı;34;Rudol David;Rudol;David;;;;;;37;ÈSSD;ÈSSD
Zlínskı;7;Rumplík Zdenìk Mgr.;Rumplík;Zdenìk;Mgr.;;;;;59;ÈSSD;ÈSSD
Moravskoslezskı;3;Rykala Adam Ing.;Rykala;Adam;Ing.;;;;;27;ÈSSD;ÈSSD
Plzeòskı;9;Øezníèková Zdeòka Mgr.;Øezníèková;Zdeòka;Mgr.;;;;;53;ÈSSD;ÈSSD
Zlínskı;1;Seïa Antonín Ing.;Seïa;Antonín;Ing.;;;;;52;ÈSSD;ÈSSD
Zlínskı;21;Sedláèek Dalibor Mgr.;Sedláèek;Dalibor;Mgr.;;;;;45;ÈSSD;ÈSSD
